"pid","story","vote_yes","vote_no"
3,"Gauss didn’t discover the normal distribution, nature conformed to his will.",267,49
4,"Gauss can trisect an angle with a straightedge and compass.",33,8
5,"Gauss can get to the other side of a Möbius strip.",269,39
6,"“Uncountably Infinite” was a phrase coined to explain the intelligence of Gauss.",53,14
7,"There are no Fermat Primes greater than 65,537 because Gauss saw that Fermat was on to something, and well…he put an end to that.",82,8
8,"For Gauss, arithmetic is consistent AND complete.",41,5
9,"It only takes Gauss 4 minutes to sing “Aleph-Null Bottles of Beer on the Wall”.",175,36
10,"When Gauss tells you that he’s lying, he’s telling the truth.",347,25
11,"Gauss once played himself in a zero-sum game and won $50.",440,28
13,"Gauss did not prove theorems, he simply stared at them until they yielded their solutions.",44,12
14,"Occam’s Razor – The principle stating that the explanation of any phenomenon is equal to the explanation that came out of Gauss’ mouth.",23,8
15,"Gauss drinks his beer from a Klein bottle.",154,5
16,"For Gauss, there are no indefinite integrals.",21,8
17,"Gauss once started falling asleep in his complex analysis class. The result…singularities.",29,12
18,"Imaginary numbers are simply those that Gauss has not deemed worthy of existence.",33,20
19,"The shortest distance between two points is Gauss.",27,13
20,"Once, while playing chess, Gauss solved the Knights Problem in six moves.",34,3
21,"Gauss is neither a Frequentist nor a Bayesian. For Gauss, the probability is always 1.",26,8
22,"Fermat once made Gauss angry. The result - Fermat’s Last Theorem.",440,56
23,"In Gauss’ mind, there is no such branch of mathematics as “Number Theory”. This is because he knows it as “Number Facts”.",53,16
24,"Gauss can construct transcendental numbers only using a compass.",38,5
25,"Parallel lines meet where Gauss tells them to.",173,7
26,"Some problems are NP because Gauss doesn't like computers.",67,23
27,"Gauss never runs out of room in the margin.",406,17
28,"Gauss can write irrationals as the ratio of 2 integers.",36,7
29,"Gauss can square the circle and then transform it into the hyper-sphere.",30,4
31,"An elegant proof is one line long. Gauss' elegant proofs are one word long.",61,9
32,"Gauss doesn't look for roots of equations, they come to him.",57,3
33,"There are no theorems, just a list of propositions Gauss allows to be true.",48,13
34,"When Gauss integrates he doesn't need to add a constant.",146,74
35,"Hilbert put forward 23 unsolved problems because he hadn't properly read Gauss' notebooks.",106,21
36,"Gauss knows the topological difference between a doughnut and a coffee cup.",29,6
37,"Gauss can divide by zero.",104,62
39,"Primes that aren't Gaussian primes get teased.",54,6
40,"If Gauss had to walk 100 metres, and half the remaining distance, then half the remaining distance again, and so on, he'd get there.",116,37
